Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,56484444,1344895,1696724,406118,364809
2,56834500,1342698,1179656,391642,365171
3,55891059,1344104,1157953,384212,361953
4,56596891,1344341,1218294,395898,360105
5,56031227,1343785,1381933,402196,361491
6,56753598,1344116,1010227,387678,362515
7,56354984,1344563,948692,408095,368487
8,55678591,1344265,1330534,396719,369885
9,56509836,1344421,1213784,408892,361578
10,56066290,1345219,1087588,394460,368036
11,55983911,1344475,1178945,381785,370640
12,56181257,1343247,1136575,428691,363301
13,56397439,1343431,1081364,393360,369736
14,56352871,1344000,1289060,404098,360701
15,56197848,1343377,1008400,388513,366714
16,56371049,1343581,1197724,395016,380792
17,55730597,1345406,1266455,402723,361289
18,56311422,1343888,1305584,384345,362027
19,56374332,1345097,1135191,377408,365869
20,56105684,1345310,1297512,395963,362964
21,56042486,1343946,1211992,394881,370869
22,56349998,1344651,1141669,413437,367752
23,56110877,1343276,1183037,398944,363208
24,56283236,1343228,1176968,379791,364417
25,56025396,1344780,1106154,379332,358778
26,56126551,1343788,1149806,397433,374414
27,57084386,1343377,1053856,404621,366363
28,56311128,1342807,1106447,374887,358239
29,56255147,1345115,1096471,387564,361476
30,56930802,1344194,1131958,386703,366119
31,56086061,1343667,1086453,392809,367390
32,56383747,1344636,1100900,409005,362042
33,56002893,1344019,1299108,395893,369406
34,56038532,1345235,1101667,389528,369469
35,55900082,1343029,1026726,393448,363117
36,56030359,1342354,1144958,382331,359670
37,56270570,1342532,980039,411381,363010
38,56460074,1344232,1032510,418749,374718
39,55858738,1345151,1005478,392963,373988
40,56560225,1343588,1216493,409704,359529
41,56388653,1343964,1245954,403757,375765
42,56311156,1344591,1221657,385268,361941
43,56718560,1343550,1364986,393407,359209
44,56508928,1344339,1053465,400010,365204
45,56002424,1344390,1262648,389374,364402
46,56743994,1342568,1045943,411594,364602
47,56374291,1344668,1064712,415623,364878
48,56668571,1344170,1021867,398613,358321
49,56216203,1344080,1135817,397631,372341
50,56480211,1345398,1343593,389367,363197
51,56429816,1344876,1393096,391348,361780
52,56436331,1344156,1361446,402689,368409
53,56218834,1343511,1154777,405983,363203
54,56827919,1344681,1393625,407176,363262
55,56353926,1343278,1217432,402454,369207
56,55868269,1345832,938556,417008,362179
57,56384173,1343690,1302598,390378,363843
58,56785807,1343562,1115429,406705,366162
59,56123172,1343921,1129247,387137,362072
60,56066463,1344000,1547523,400606,368003
61,56062168,1344582,1199964,406181,363044
62,56606515,1344482,1208138,389071,365839
63,56024907,1344063,1241145,396905,368112
64,56042523,1345715,1287601,432391,371847
65,56039110,1344113,1148898,379593,364795
66,56179048,1343393,1350726,380744,366699
67,56259042,1343338,1043110,395910,364279
68,56566847,1344185,973770,392688,364074
69,55577414,1343117,1151486,421066,357469
70,55877388,1344809,1097301,408094,366655
71,56243628,1344350,1407455,395920,370029
72,56231193,1344289,1196596,398817,362418
73,56381490,1344201,1269081,395186,364897
74,56390175,1344648,1060007,411665,367086
75,55898297,1345702,1231840,414172,366670
76,55640632,1343971,1280830,389984,362649
77,56073679,1343684,1205561,392705,364111
78,56167037,1344162,975168,412785,364547
79,56373461,1344677,1010346,398552,364661
80,55987132,1343693,1118234,396905,368712
81,56318141,1342900,1087777,407440,360962
82,56118241,1344203,1177592,405545,364344
83,56457615,1344219,1089065,404644,366858
84,56162979,1345210,1367116,401968,368440
85,56396856,1342964,882455,386195,364202
86,56334072,1344695,1262411,385931,367814
87,56352564,1344776,1156336,386919,362339
88,55762497,1343699,1118128,396656,364513
89,56391327,1343941,1160763,407771,369269
90,56364034,1344529,1291301,410648,373614
91,56535757,1344995,1185037,389671,364982
92,56077351,1342963,984173,392349,360337
93,55709445,1345433,1152721,378906,366920
94,56812433,1344312,1173068,380394,367484
95,56267897,1343597,1236213,388899,365134
96,56557563,1343872,1180859,437688,363549
97,55612280,1344142,1029740,391091,365132
98,55889001,1344385,1181043,388394,365650
99,56360753,1343885,1370534,411466,378052
100,56622638,1343814,1495671,385499,363381
